,,,2021q2,2021q4,2021q3,2022q2,2022q4,2022q3,2021q1,2022q1
APPLE INC,CI,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-1478000000.0,-967000000.0,163000000.0,-5579000000.0,-11899000000.0,-3055000000.0,523000000.0,-1185000000.0
APPLE INC,CI,ComprehensiveIncomeNetOfTax,23165000000.0,95249000000.0,22088000000.0,19443000000.0,88531000000.0,16639000000.0,29340000000.0,33540000000.0
APPLE INC,CI,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,75000000.0,273000000.0,54000000.0,-54000000.0,-205000000.0,-95000000.0,105000000.0,9000000.0
APPLE INC,CI,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-1403000000.0,-694000000.0,217000000.0,-5633000000.0,-12104000000.0,-3150000000.0,628000000.0,-1176000000.0
APPLE INC,CI,OtherComprehensiveIncomeLossDerivativeInstrumentGainLossbeforeReclassificationafterTax,332000000.0,32000000.0,-24000000.0,334000000.0,3212000000.0,852000000.0,-304000000.0,362000000.0
AT&T INC.,CP,EntityCommonStockSharesOutstanding,7140000000.0,7141000000.0,7140000000.0,7159000000.0,7127000000.0,7126000000.0,7131763496.0,7142892741.0
AT&T INC.,BS,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,124607000000.0,124419000000.0,123591000000.0,127159000000.0,127045000000.0,125135000000.0,127315000000.0,125904000000.0
AT&T INC.,BS,CommonStockSharesIssued,7620748598.0,7620748598.0,7620748598.0,7620748598.0,7620748598.0,7620748598.0,7620748598.0,7620748598.0
AT&T INC.,BS,CommonStockValue,7621000000.0,7621000000.0,7621000000.0,7621000000.0,7621000000.0,7621000000.0,7621000000.0,7621000000.0
AT&T INC.,BS,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,183079000000.0,181303000000.0,179846000000.0,186556000000.0,139978000000.0,135307000000.0,179240000000.0,183855000000.0
AT&T INC.,BS,PreferredStockSharesAuthorized,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
AT&T INC.,BS,LongTermDebtAndCapitalLeaseObligations,160694000000.0,155406000000.0,155767000000.0,180225000000.0,123854000000.0,129747000000.0,153775000000.0,152724000000.0
AT&T INC.,BS,Assets,546985000000.0,547107000000.0,544710000000.0,577195000000.0,426463000000.0,426433000000.0,525761000000.0,551622000000.0
AT&T INC.,BS,DividendsPayableCurrent,3829000000.0,3749000000.0,3749000000.0,2086000000.0,2013000000.0,2013000000.0,3741000000.0,3749000000.0
AT&T INC.,BS,TaxesPayableCurrent,1019000000.0,,,,,,1019000000.0,
AT&T INC.,BS,PostemploymentBenefitsLiabilityNoncurrent,14723000000.0,14158000000.0,14876000000.0,11294000000.0,6152000000.0,9775000000.0,18276000000.0,12649000000.0
AT&T INC.,BS,OperatingLeaseRightOfUseAsset,24415000000.0,24341000000.0,24390000000.0,23941000000.0,21782000000.0,21808000000.0,24714000000.0,24180000000.0
AT&T INC.,BS,DebtCurrent,19505000000.0,23755000000.0,24016000000.0,27333000000.0,9626000000.0,6210000000.0,3470000000.0,24630000000.0
AT&T INC.,BS,OtherIntangibleAssetsNet,13384000000.0,12338000000.0,12736000000.0,11452000000.0,5362000000.0,5371000000.0,15386000000.0,11783000000.0
AT&T INC.,BS,LiabilitiesCurrent,76608000000.0,81601000000.0,82126000000.0,82494000000.0,52257000000.0,49189000000.0,63438000000.0,85588000000.0
AT&T INC.,BS,DepositsAssetsNoncurrent,23406000000.0,,23663000000.0,9129000000.0,,,,
AT&T INC.,BS,EquityMethodInvestments,1805000000.0,8629000000.0,1853000000.0,5943000000.0,3964000000.0,4523000000.0,1780000000.0,7274000000.0
AT&T INC.,BS,MinorityInterest,17591000000.0,17532000000.0,17550000000.0,17520000000.0,17572000000.0,17561000000.0,17567000000.0,17523000000.0
AT&T INC.,BS,PrepaidExpenseCurrent,3347000000.0,3088000000.0,2810000000.0,3153000000.0,3935000000.0,3241000000.0,1822000000.0,3464000000.0
AT&T INC.,BS,AssetsCurrent,62754000000.0,57230000000.0,62869000000.0,76856000000.0,32295000000.0,34485000000.0,52008000000.0,59997000000.0
AT&T INC.,BS,AllowanceForDoubtfulAccountsReceivableCurrent,954000000.0,806000000.0,843000000.0,788000000.0,646000000.0,655000000.0,1221000000.0,771000000.0
AT&T INC.,BS,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,197927000000.0,201447000000.0,198668000000.0,196275000000.0,200858000000.0,198214000000.0,,
AT&T INC.,BS,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,322534000000.0,325866000000.0,322259000000.0,323434000000.0,327903000000.0,323349000000.0,,
AT&T INC.,BS,AccumulatedOtherComprehensiveIncomeLossNetOfTax,4199000000.0,2343000000.0,3119000000.0,3290000000.0,2873000000.0,2307000000.0,4330000000.0,3529000000.0
AT&T INC.,BS,RetainedEarningsAccumulatedDeficit,41154000000.0,41091000000.0,38947000000.0,45041000000.0,6127000000.0,2128000000.0,37457000000.0,42350000000.0
AT&T INC.,BS,AccountsReceivableNetCurrent,16971000000.0,16304000000.0,15771000000.0,17218000000.0,11384000000.0,11377000000.0,20215000000.0,17571000000.0
AT&T INC.,BS,CommonStockSharesAuthorized,14000000000.0,14000000000.0,14000000000.0,14000000000.0,14000000000.0,14000000000.0,14000000000.0,14000000000.0
AT&T INC.,BS,PrepaidExpenseAndOtherAssetsCurrent,31094000000.0,16568000000.0,32419000000.0,17920000000.0,14553000000.0,15764000000.0,,
AT&T INC.,BS,AdditionalPaidInCapitalCommonStock,129856000000.0,130035000000.0,129941000000.0,129637000000.0,122933000000.0,122850000000.0,130175000000.0,130112000000.0
AT&T INC.,BS,PreferredStockParOrStatedValuePerShare,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AT&T INC.,BS,LiabilitiesAndStockholdersEquity,546985000000.0,547107000000.0,544710000000.0,577195000000.0,426463000000.0,426433000000.0,525761000000.0,551622000000.0
AT&T INC.,BS,CashAndCashEquivalentsAtCarryingValue,11342000000.0,21270000000.0,11869000000.0,38565000000.0,2423000000.0,4018000000.0,9740000000.0,21169000000.0
AT&T INC.,BS,OtherLiabilitiesNoncurrent,28229000000.0,29466000000.0,28726000000.0,29746000000.0,29426000000.0,28365000000.0,28358000000.0,30223000000.0
AT&T INC.,BS,TreasuryStockValue,17342000000.0,17319000000.0,17332000000.0,16553000000.0,17148000000.0,17160000000.0,17910000000.0,17280000000.0
AT&T INC.,BS,DeferredCreditsAndOtherLiabilitiesNoncurrent,126604000000.0,128797000000.0,126971000000.0,127920000000.0,110374000000.0,112190000000.0,129308000000.0,129455000000.0
AT&T INC.,BS,IndefiniteLivedLicenseAgreements,87947000000.0,112423000000.0,87962000000.0,114107000000.0,123856000000.0,123557000000.0,93840000000.0,113830000000.0
AT&T INC.,BS,TreasuryStockShares,480892174.0,480656332.0,480891895.0,461896657.0,494560271.0,494838650.0,494826583.0,479684705.0
AT&T INC.,BS,OtherLiabilitiesCurrent,5029000000.0,4991000000.0,4932000000.0,5183000000.0,3705000000.0,3603000000.0,6176000000.0,5303000000.0
AT&T INC.,BS,DeferredIncomeTaxLiabilitiesNet,61886000000.0,63405000000.0,61732000000.0,65963000000.0,56055000000.0,55301000000.0,60472000000.0,65226000000.0
AT&T INC.,BS,OtherAssetsCurrent,20231000000.0,,,,,,20231000000.0,17793000000.0
AT&T INC.,BS,Goodwill,135168000000.0,133663000000.0,134626000000.0,133247000000.0,92725000000.0,92746000000.0,135259000000.0,133223000000.0
AT&T INC.,BS,AccountsPayableAndAccruedLiabilitiesCurrent,48245000000.0,47926000000.0,49429000000.0,46845000000.0,36642000000.0,36659000000.0,49032000000.0,50661000000.0
AT&T INC.,BS,OperatingLeaseLiabilityNoncurrent,21766000000.0,21510000000.0,21637000000.0,20917000000.0,18741000000.0,18749000000.0,22202000000.0,21261000000.0
AT&T INC.,BS,NoncurrentInventoriesAndFilmCosts,15626000000.0,17811000000.0,16271000000.0,19803000000.0,,,14752000000.0,18983000000.0
AT&T INC.,BS,CommonStockParOrStatedValuePerShare,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AT&T INC.,BS,OtherAssetsNoncurrent,21496000000.0,21748000000.0,21598000000.0,22291000000.0,19434000000.0,18808000000.0,23617000000.0,22568000000.0
AT&T INC.,EQ,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,183079000000.0,181303000000.0,179846000000.0,186556000000.0,139978000000.0,135307000000.0,179240000000.0,183855000000.0
AT&T INC.,EQ,NetIncomeLossAttributableToNoncontrollingInterest,392000000.0,355000000.0,304000000.0,354000000.0,373000000.0,380000000.0,1355000000.0,1398000000.0
AT&T INC.,EQ,NetIncomeLoss,7550000000.0,5918000000.0,1570000000.0,4810000000.0,6026000000.0,4157000000.0,-5176000000.0,20081000000.0
AT&T INC.,EQ,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-131000000.0,-1987000000.0,-1211000000.0,-239000000.0,-656000000.0,-1222000000.0,-1140000000.0,-801000000.0
AT&T INC.,EQ,TreasuryStockValueAcquiredCostMethod,5278000000.0,,,,,,5278000000.0,5278000000.0
AT&T INC.,EQ,CommonStockDividendsPerShareDeclared,0.52,0.52,0.52,0.2775,0.2775,0.2775,2.08,0.52
AT&T INC.,EQ,TreasuryStockSharesAcquired,142000000.0,,,,,,142000000.0,0.0
AT&T INC.,EQ,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,-4000000.0,-4000000.0,6000000.0,0.0,0.0,0.0,-59000000.0,-2000000.0
AT&T INC.,CF,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-3060000000.0,-2254000000.0,-4298000000.0,-4031000000.0,-3261000000.0,-3905000000.0,-1410000000.0,1636000000.0
AT&T INC.,CF,IncreaseDecreaseInPensionAndPostretirementObligations,-974000000.0,-2870000000.0,-1899000000.0,-937000000.0,-2529000000.0,-1735000000.0,-2992000000.0,-3848000000.0
AT&T INC.,CF,ProvisionForDoubtfulAccounts,321000000.0,858000000.0,596000000.0,460000000.0,1323000000.0,870000000.0,1972000000.0,1240000000.0
AT&T INC.,CF,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,0.0,0.0,0.0,,,,3869000000.0,0.0
AT&T INC.,CF,IncreaseDecreaseInNetOperatingAssetsEquipInstallmentReceivablesAndRelatedAssetSales,-1190000000.0,-715000000.0,-811000000.0,-541000000.0,-906000000.0,-342000000.0,1429000000.0,265000000.0
AT&T INC.,CF,IncreaseDecreaseInOperatingAssetsDeferredFulfillmentCosts,-244000000.0,-316000000.0,-410000000.0,259000000.0,756000000.0,506000000.0,-376000000.0,-52000000.0
AT&T INC.,CF,RepaymentsOfLongTermDebt,902000000.0,498000000.0,253000000.0,802000000.0,199000000.0,23423000000.0,39964000000.0,3142000000.0
AT&T INC.,CF,ProceedsFromPaymentsForOtherFinancingActivities,-340000000.0,-1776000000.0,-1036000000.0,-934000000.0,-3649000000.0,-2144000000.0,-4570000000.0,-2444000000.0
AT&T INC.,CF,AdvancesInvestmentsInCollectionsPaymentsFromAffiliates,-18000000.0,,,,,,160000000.0,
AT&T INC.,CF,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,1558000000.0,11535000000.0,2106000000.0,17332000000.0,,,-2425000000.0,11446000000.0
AT&T INC.,CF,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,51000000.0,9086000000.0,635000000.0,11000000.0,49000000.0,22000000.0,3641000000.0,8740000000.0
AT&T INC.,CF,IncreaseDecreaseInOtherOperatingCapitalNet,159000000.0,-516000000.0,106000000.0,166000000.0,-64000000.0,515000000.0,-1134000000.0,-456000000.0
AT&T INC.,CF,PensionAndOtherPostretirementBenefitAdjustment,343000000.0,425000000.0,207000000.0,97000000.0,443000000.0,186000000.0,985000000.0,822000000.0
AT&T INC.,CF,ProfitLoss,7942000000.0,16089000000.0,1874000000.0,5164000000.0,,,-3821000000.0,21479000000.0
AT&T INC.,CF,PaymentsOfDividendsCommonStock,3741000000.0,11319000000.0,7571000000.0,3749000000.0,7845000000.0,5835000000.0,14956000000.0,15068000000.0
AT&T INC.,CF,GoodwillImpairmentLossAndAssetsDisposedOfByMethodOtherThanSaleInPeriodOfDispositionLossOnDisposition,0.0,161000000.0,4555000000.0,,114000000.0,631000000.0,18880000000.0,4904000000.0
AT&T INC.,CF,NetCashProvidedByUsedInOperatingActivities,9927000000.0,30703000000.0,20837000000.0,5732000000.0,,,43130000000.0,41957000000.0
AT&T INC.,CF,RepaymentsOfLongtermLoansFromVendors,1690000000.0,4013000000.0,2994000000.0,1566000000.0,4237000000.0,3337000000.0,2966000000.0,4596000000.0
AT&T INC.,CF,ProceedsFromMinorityShareholders,1979000000.0,0.0,,,,,1979000000.0,0.0
AT&T INC.,CF,DefinedBenefitPlanActuarialGainLoss,2844000000.0,374000000.0,-197000000.0,1053000000.0,3838000000.0,2398000000.0,-4169000000.0,4140000000.0
AT&T INC.,CF,PaymentsForRepurchaseOfCommonStock,176000000.0,191000000.0,185000000.0,197000000.0,875000000.0,872000000.0,5498000000.0,202000000.0
AT&T INC.,CF,ProceedsFromIssuanceOfLongTermDebt,9097000000.0,9931000000.0,9097000000.0,30296000000.0,479000000.0,0.0,31988000000.0,9931000000.0
AT&T INC.,CF,NetCashProvidedByUsedInInvestingActivities,-26852000000.0,-27333000000.0,-30631000000.0,-12651000000.0,,,-13548000000.0,-32089000000.0
AT&T INC.,CF,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,1985000000.0,14614000000.0,11021000000.0,568000000.0,9218000000.0,5470000000.0,46951000000.0,20478000000.0
AT&T INC.,CF,InterestPaidCapitalized,61000000.0,,,,,,123000000.0,
AT&T INC.,CF,PaymentsToAcquireBusinessesNetOfCashAcquired,22884000000.0,23533000000.0,23169000000.0,9244000000.0,9959000000.0,9570000000.0,1851000000.0,25453000000.0
AT&T INC.,CF,IncreaseDecreaseInReceivables,-751000000.0,-57000000.0,-1415000000.0,228000000.0,-1021000000.0,-1292000000.0,-2216000000.0,634000000.0
AT&T INC.,CF,ProceedsFromOtherShortTermDebt,15485000000.0,17476000000.0,16440000000.0,2593000000.0,3955000000.0,2593000000.0,9440000000.0,21856000000.0
AT&T INC.,CF,NetCashProvidedByUsedInFinancingActivities,18483000000.0,8165000000.0,11900000000.0,24251000000.0,,,-32007000000.0,1578000000.0
AT&T INC.,CF,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,1950000000.0,,,,,,1950000000.0,0.0
AT&T INC.,CF,AmortizationOfFilmAndTelevisionCosts,2886000000.0,8421000000.0,6256000000.0,3009000000.0,,,8603000000.0,11006000000.0
AT&T INC.,CF,RepaymentsOfOtherShortTermDebt,9467000000.0,2448000000.0,857000000.0,3407000000.0,16861000000.0,15613000000.0,9467000000.0,7510000000.0
AT&T INC.,CF,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,11428000000.0,21405000000.0,11976000000.0,38648000000.0,2494000000.0,4117000000.0,9870000000.0,21316000000.0
AT&T INC.,CF,ProceedsFromSaleOfTreasuryStock,63000000.0,89000000.0,85000000.0,26000000.0,28000000.0,28000000.0,105000000.0,96000000.0
AT&T INC.,CF,DepreciationDepletionAndAmortization,5809000000.0,5619000000.0,5761000000.0,5539000000.0,13426000000.0,4450000000.0,28516000000.0,22862000000.0
AT&T INC.,CF,PaymentsForProceedsFromOtherInvestingActivities,0.0,190000000.0,105000000.0,-15000000.0,-91000000.0,-75000000.0,0.0,172000000.0
AT&T INC.,CF,DeferredIncomeTaxExpenseBenefit,1848000000.0,3187000000.0,1772000000.0,932000000.0,2947000000.0,2324000000.0,1675000000.0,5246000000.0
AT&T INC.,CF,IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,47000000.0,-102000000.0,-15000000.0,-26000000.0,,,-38000000.0,-184000000.0
AT&T INC.,CF,IncreaseDecreaseInOtherOperatingAssets,3518000000.0,11928000000.0,6985000000.0,3261000000.0,799000000.0,-11000000.0,13070000000.0,16472000000.0
AT&T INC.,CF,ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,687000000.0,630000000.0,76000000.0,2285000000.0,84000000.0,172000000.0,-17000000.0,1316000000.0
AT&T INC.,CF,PaymentsForProceedsFromInvestments,4000000.0,,,,,,-497000000.0,
AT&T INC.,CF,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,119000000.0,965000000.0,237000000.0,-93000000.0,-412000000.0,-333000000.0,742000000.0,927000000.0
AT&T INC.,CF,PaymentsToAcquireProductiveAssets,4033000000.0,12696000000.0,7992000000.0,4748000000.0,15397000000.0,9476000000.0,15675000000.0,16527000000.0
AT&T INC.,IS,NetIncomeLossAttributableToNoncontrollingInterest,392000000.0,355000000.0,304000000.0,354000000.0,373000000.0,380000000.0,1355000000.0,1398000000.0
AT&T INC.,IS,NetIncomeLoss,7550000000.0,5918000000.0,1570000000.0,4810000000.0,6026000000.0,4157000000.0,-5176000000.0,20081000000.0
AT&T INC.,IS,InterestExpense,1870000000.0,1667000000.0,3554000000.0,1722000000.0,1420000000.0,1502000000.0,7925000000.0,6884000000.0
AT&T INC.,IS,ProfitLoss,7942000000.0,16089000000.0,1874000000.0,5164000000.0,6399000000.0,9701000000.0,-3821000000.0,21479000000.0
AT&T INC.,IS,SellingGeneralAndAdministrativeExpense,9382000000.0,9207000000.0,9361000000.0,9368000000.0,7202000000.0,7265000000.0,38039000000.0,37944000000.0
AT&T INC.,IS,GoodwillImpairmentLossAndAssetsDisposedOfByMethodOtherThanSaleInPeriodOfDispositionLossOnDisposition,0.0,161000000.0,4555000000.0,,114000000.0,631000000.0,18880000000.0,4904000000.0
AT&T INC.,IS,IncomeLossFromEquityMethodInvestments,52000000.0,91000000.0,93000000.0,501000000.0,392000000.0,504000000.0,95000000.0,631000000.0
AT&T INC.,IS,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,10064000000.0,7812000000.0,12689000000.0,6607000000.0,20103000000.0,6260000000.0,-2856000000.0,26947000000.0
AT&T INC.,IS,WeightedAverageNumberOfSharesOutstandingBasic,7161000000.0,7167000000.0,7165000000.0,7184000000.0,7169000000.0,7169000000.0,,
AT&T INC.,IS,WeightedAverageNumberOfDilutedSharesOutstanding,7188000000.0,7197000000.0,7200000000.0,7556000000.0,7605000000.0,7611000000.0,,
AT&T INC.,IS,EarningsPerShareDiluted,1.04,0.82,0.21,0.65,0.8,0.56,-0.75,2.76
AT&T INC.,IS,OtherCostOfOperatingRevenue,7993000000.0,7649000000.0,8155000000.0,7206000000.0,6761000000.0,6807000000.0,32909000000.0,31232000000.0
AT&T INC.,IS,NetIncomeLossAvailableToCommonStockholdersBasic,7500000000.0,14882000000.0,9014000000.0,4762000000.0,14844000000.0,4105000000.0,-5369000000.0,19874000000.0
AT&T INC.,IS,OperatingIncomeLoss,7661000000.0,7109000000.0,10930000000.0,5641000000.0,16505000000.0,4956000000.0,6405000000.0,23347000000.0
AT&T INC.,IS,IncomeTaxExpenseBenefit,2122000000.0,1539000000.0,751000000.0,1443000000.0,908000000.0,1509000000.0,965000000.0,5468000000.0
AT&T INC.,IS,NonoperatingIncomeExpense,2403000000.0,703000000.0,-644000000.0,966000000.0,1242000000.0,1304000000.0,-9261000000.0,3600000000.0
AT&T INC.,IS,CostsAndExpenses,36278000000.0,32813000000.0,40776000000.0,32464000000.0,24031000000.0,24687000000.0,165355000000.0,145517000000.0
AT&T INC.,IS,PreferredStockDividendsIncomeStatementImpact,50000000.0,50000000.0,56000000.0,48000000.0,49000000.0,52000000.0,193000000.0,207000000.0
AT&T INC.,IS,OtherNonoperatingIncomeExpense,4221000000.0,2279000000.0,5220000000.0,2187000000.0,2270000000.0,2302000000.0,-1431000000.0,9853000000.0
AT&T INC.,IS,DepreciationDepletionAndAmortization,5809000000.0,5619000000.0,5761000000.0,5539000000.0,13426000000.0,4450000000.0,28516000000.0,22862000000.0
AT&T INC.,IS,EarningsPerShareBasic,1.04,0.82,0.21,0.66,0.83,0.57,-0.75,2.77
AT&T INC.,IS,Revenues,43939000000.0,39922000000.0,87984000000.0,38105000000.0,30043000000.0,59355000000.0,171760000000.0,168864000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,-6000000.0,,,,,,-6000000.0,
AT&T INC.,CI,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-109000000.0,-86000000.0,301000000.0,19000000.0,-88000000.0,229000000.0,-929000000.0,-127000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,-13000000.0,,,,,,-13000000.0,
AT&T INC.,CI,OtherComprehensiveIncomeDefinedBenefitPlanNetPriorServiceCostsCreditArisingDuringPeriodNetOfTax,-2250000000.0,,,,-1787000000.0,,-2250000000.0,34000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax,1000000.0,0.0,0.0,-1000000.0,-1000000.0,-1000000.0,5000000.0,1000000.0
AT&T INC.,CI,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,-156000000.0,,,,,,-156000000.0,
AT&T INC.,CI,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-55000000.0,-4000000.0,20000000.0,-69000000.0,-43000000.0,-40000000.0,78000000.0,-63000000.0
AT&T INC.,CI,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,7807000000.0,5493000000.0,800000000.0,4925000000.0,6965000000.0,3554000000.0,-5020000000.0,20676000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax,-504000000.0,-505000000.0,-507000000.0,-465000000.0,-551000000.0,-461000000.0,-1841000000.0,-2020000000.0
AT&T INC.,CI,ProfitLoss,7942000000.0,16089000000.0,1874000000.0,5164000000.0,6399000000.0,9701000000.0,-3821000000.0,21479000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationTax,136000000.0,-54000000.0,-242000000.0,69000000.0,-143000000.0,-172000000.0,-212000000.0,-192000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditTax,-165000000.0,-165000000.0,-165000000.0,-152000000.0,-180000000.0,-152000000.0,-601000000.0,-660000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationTax,-6000000.0,-4000000.0,-6000000.0,-4000000.0,-3000000.0,-15000000.0,-18000000.0,-19000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansBenefitPlanImprovementTaxEffect,-735000000.0,,,,-583000000.0,,-735000000.0,8000000.0
AT&T INC.,CI,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-597000000.0,,,,,,-597000000.0,
AT&T INC.,CI,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,-24000000.0,-11000000.0,-22000000.0,-15000000.0,-12000000.0,-58000000.0,-69000000.0,-72000000.0
AT&T INC.,CI,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,388000000.0,351000000.0,310000000.0,354000000.0,373000000.0,380000000.0,1296000000.0,1396000000.0
AT&T INC.,CI,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,-18000000.0,-1000000.0,6000000.0,-23000000.0,-15000000.0,-14000000.0,27000000.0,-21000000.0
AT&T INC.,CI,ComprehensiveIncomeNetOfTax,7419000000.0,5142000000.0,490000000.0,4571000000.0,6592000000.0,3174000000.0,-6316000000.0,19280000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,2000000.0,1000000.0,1000000.0,-3000000.0,-1000000.0,-3000000.0,15000000.0,3000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossNetOfTax,-135000000.0,-780000000.0,-1074000000.0,-239000000.0,566000000.0,-983000000.0,-1199000000.0,-803000000.0
AT&T INC.,CI,OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,-37000000.0,-17000000.0,41000000.0,5000000.0,-38000000.0,58000000.0,-42000000.0,-44000000.0
AT&T INC.,CI,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,511000000.0,-195000000.0,-909000000.0,258000000.0,-540000000.0,-603000000.0,-811000000.0,-715000000.0
AT&T INC.,CI,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,-4000000.0,-4000000.0,6000000.0,0.0,0.0,0.0,-59000000.0,-2000000.0
BERKSHIRE HATHAWAY ENERGY CO,CP,EntityCommonStockSharesOutstanding,76368874.0,76368874.0,76368874.0,76368874.0,60101.0,70980203.0,76368874.0,76368874.0
BERKSHIRE HATHAWAY ENERGY CO,BS,OtherLiabilitiesCurrent,1948000000.0,2054000000.0,188000000.0,1647000000.0,1723000000.0,1802000000.0,1626000000.0,1837000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,LiabilitiesCurrent,9775000000.0,8847000000.0,9080000000.0,8458000000.0,10129000000.0,9912000000.0,9138000000.0,8762000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,DeferredIncomeTaxLiabilitiesNet,11630000000.0,12910000000.0,12464000000.0,12786000000.0,12722000000.0,13394000000.0,11775000000.0,12938000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,RestrictedCashAndCashEquivalentsAtCarryingValue,9000000.0,216000000.0,154000000.0,129000000.0,,201000000.0,140000000.0,127000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,InterestPayableCurrent,642000000.0,622000000.0,14000000.0,644000000.0,639000000.0,557000000.0,555000000.0,537000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,PreferredStockSharesIssued,4000000.0,2000000.0,4000000.0,2000000.0,1000000.0,1000000.0,4000000.0,2000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,AdditionalPaidInCapitalCommonStock,1679000000.0,6374000000.0,2308000000.0,6374000000.0,6298000000.0,6298000000.0,6377000000.0,6374000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,CommonStockSharesIssued,76000000.0,76000000.0,1000.0,76000000.0,76000000.0,76000000.0,76000000.0,76000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,CommitmentsAndContingencies,,,,,,,,
BERKSHIRE HATHAWAY ENERGY CO,BS,ShortTermBorrowings,55000000.0,1968000000.0,2536000000.0,1849000000.0,1441000000.0,1948000000.0,2286000000.0,2009000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,OtherAssetsCurrent,103000000.0,2142000000.0,92000000.0,815000000.0,1378000000.0,1294000000.0,2741000000.0,1628000000.0
BERKSHIRE HATHAWAY ENERGY CO,BS,OtherLongTermDebtNoncurrent,34351000000.0,35818000000.0,34855000000.0,35706000000.0,34186000000.0,35354000000.0,,35394000000.0
